Zone_1_1;Zone_1_2;Zone_1_3;Zone_2_1;Zone_2_2;Zone_2_3;Zone_3_1;Zone_3_2;Zone_3_3
T_OE_7_10;T_OE_7_17;T_OE_7_24;T_OE_14_10;T_OE_14_17;T_OE_14_24;T_OE_21_10;T_OE_21_17;T_OE_21_24
T_EO_7_19;T_EO_7_12;T_EO_7_5;T_EO_14_19;T_EO_14_12;T_EO_14_5;T_EO_21_19;T_EO_21_12;T_EO_21_5
T_NS_10_7;T_NS_10_14;T_NS_10_21;T_NS_17_7;T_NS_17_14;T_NS_17_21;T_NS_24_7;T_NS_24_14;T_NS_24_21
T_SN_19_7;T_SN_19_14;T_SN_19_21;T_SN_12_7;T_SN_12_14;T_SN_12_21;T_SN_5_7;T_SN_5_14;T_SN_5_21
T_OE_8_10;T_OE_8_17;T_OE_8_24;T_OE_15_10;T_OE_15_17;T_OE_15_24;T_OE_22_10;T_OE_22_17;T_OE_22_24
T_EO_8_19;T_EO_8_12;T_EO_8_5;T_EO_15_19;T_EO_15_12;T_EO_15_5;T_EO_22_19;T_EO_22_12;T_EO_22_5
T_NS_10_8;T_NS_10_15;T_NS_10_22;T_NS_17_8;T_NS_17_15;T_NS_17_22;T_NS_24_8;T_NS_24_15;T_NS_24_22
T_SN_19_8;T_SN_19_15;T_SN_19_22;T_SN_12_8;T_SN_12_15;T_SN_12_22;T_SN_5_8;T_SN_5_15;T_SN_5_22
T_OE_9_10;T_OE_9_17;T_OE_9_24;T_OE_16_10;T_OE_16_17;T_OE_16_24;T_OE_23_10;T_OE_23_17;T_OE_23_24
T_EO_9_19;T_EO_9_12;T_EO_9_5;T_EO_16_19;T_EO_16_12;T_EO_16_5;T_EO_23_19;T_EO_23_12;T_EO_23_5
T_NS_10_9;T_NS_10_16;T_NS_10_23;T_NS_17_9;T_NS_17_16;T_NS_17_23;T_NS_24_9;T_NS_24_16;T_NS_24_23
T_SN_19_9;T_SN_19_16;T_SN_19_23;T_SN_12_9;T_SN_12_16;T_SN_12_23;T_SN_5_9;T_SN_5_16;T_SN_5_23
T_OE_10_10;T_OE_10_17;T_OE_10_24;T_OE_17_10;T_OE_17_17;T_OE_17_24;T_OE_24_10;T_OE_24_17;T_OE_24_24
T_EO_10_19;T_EO_10_12;T_EO_10_5;T_EO_17_19;T_EO_17_12;T_EO_17_5;T_EO_24_19;T_EO_24_12;T_EO_24_5
T_NS_10_10;T_NS_10_17;T_NS_10_24;T_NS_17_10;T_NS_17_17;T_NS_17_24;T_NS_24_10;T_NS_24_17;T_NS_24_24
